filename,transcription,language,duration,model,error,timestamp
voice_record_1.mp3,اخويا ابو العبد على راسي حارتك والله عين اخويا لما لمطلك كم لقطة من البالا أزبطلك الأسعار بسوء نار شاعلة العمى في عيونين التجار ما في بقلبهم رحمة خلص دشر السوق شو بدك فاهني مفكرينا ولاد الشجو يتشايعوا هنن و كلاكيشون اذا اناني ريحة نار والخفافات نار والقلاشين نار وعلب البريانطين غالي اما عن طيبو ما بدي عيدياخيي,ar,,large-v3,,2025-10-12 19:44:34
voice_record_2.mp3,بأديش بدك تحسبلنا ياه لا كثير مغلي علينا جارك عنده ياها بنصف السعر بس نحن بدنا ننفعك بنت حماية دلتني عليك قالت لي كثير ابن حلال وآدمي وأسعاره مناسبة بس لا والله طلعت كتير غالواجية بعدين شو فياا ؟,ar,,large-v3,,2025-10-12 19:44:42
voice_record_3.mp3,يعني والله عادية الله يساعد مثلا هون منقوبة ما منقوبة؟ طلع تعالوا شوفوا هون كمان ليك بس إلنا مناخذة عند الخياط بيربكم ما منقوبة؟ طلعوا منقوبة بدها خياط ويرتيها ويزبطها لا لا حاجة مثل ما قلت لكم,ar,,large-v3,,2025-10-12 19:45:07
voice_record_4.mp3,والله عادية ولو ماما منثلة السوق معبية عادية ما بعرف ليش هيكي مغلاين فيها خلص مشان عطلا باخدها بدك تراعيني فيها بس بعدين ما حرام عليك تكسر بخاطرو لهل الطفل عجبتو  بيلبسا هالعيد,ar,,large-v3,,2025-10-12 19:45:12
voice_record_5.mp3,امشي ماما امشي عمو ما بيحبنا لكي ضبا خلاص عم بيقلك مبيقيان غير مصاري الطبخة بدك تعلقني عكيناها مشوى من آخر الدنيا منشان ناخد هالقطعة بالأخير بدك ترجعنا ماشي ما ضل معي غير أجار السيربيس,ar,,large-v3,,2025-10-12 19:45:47
voice_record_6.mp3,لكي ضبطلنا ياها يلعو قلبك نفقت قلبي صار لي من الصبح أنا وعم دور على جمال تناسب الصياق بشان نكمل الفيديو,ar,,large-v3,,2025-10-12 19:45:52
voice_record_7.mp3, ما رَن برن برن شيبك ليش هيك بصلتك محروقة الا ما يرن ما راح يرن ما راح يرن لو بدو يرن كان يرن طول بقلك مامشوفو غير يرن ما راح يرن شفتي يا أنسة بديعه شفتي كمان جوزك بيربح بالشروطة ما شاء الله عليك بركات ورثينك هلا انتو ليش ناطرينو لحتى يرن اه صرنا مئة مرة قايليلك أنسة ديبة لحتى نثبت له للأفندي إنه تلفون ما راديو ترانزيستور منيح هيك ا,ar,,large-v3,,2025-10-15 19:24:39
voice_record_8.mp3,شو هالزكاة أنسة ديبة لكن شو رأيك نسألو نقلو اذا تلفون ولا مونك تلفون بيقوم برد علينا بيقلنا لا والله انا موني تلفون انا راديو ترانزيستور يقطاعو لعمرك ما اغشمك يقطعه تاطيع ان شاء الله اتا ويا الغشم اما ضروري يرن حتى تعرفو تلفون دقوا اتو,ar,,large-v3,,2025-10-15 19:25:17
voice_record_9.mp3,آسفين أنسة ديبة غلطنا بحقك مونيك غشيمة هاتشوف هاتشوف هاو دقوا لشوف  ليش لمين بدك تدق تعرف حدا عندك تليفون لك لكان لكان أخوي الاستاز وليد عنده تلفون هاتشوف شغلو شغلو كبيس كبيس شبك شبو شخار فيأو فيأو شو كانطك شباك ولو عم لطف جو يحمول لقلبك ما اسقلاك,ar,,large-v3,,2025-10-15 19:25:23
voice_record_10.mp3,شو يعني هلأ ؟ نتركه بلا أكل و بدون شراب ؟ بديعة شبك .. شو نعمله والله عجزنا ؟ طيب ليش ما منحكي مع المختار ؟ و شو بدنا نقول لهذا الجيئر ؟ بنقله اذا صار له سليم شيء .. اخطيته ستكون في برأبتك يا بيسة و برد علينا ؟ لك شو خسرانين نحن ولا أخوي ؟ بنلزق هذه العجينة بهل الحيط اذا لزقت كتير منيح .. اذا ما لزقت امرنا لالله لان البيسة ماله اسم تاني حيط حيط مظبوط كلامك .. اذا لزقت لزقت .. اذا ما لزقت ما لزقت  ق,ar,,large-v3,,2025-10-15 19:22:46
voice_record_11.mp3,لك سد بوزك أنت و هوي ولا ولك ما بتستحو لعما في عيونكم ما أجأركم ليش اللي عم يسعى ما يسعى خير يا مختار بيستحي فهني لك يا بني آدم الله ما شافه بالعقل عرفه واحد مهنديز مليان ومنتلي وعنده سيارة من أبرتها خلانج ما بعطاه بتي وبعطيها لواح تصمي متل سلنجو مظبوط يعني يا مختار يا مختار اذا بتريد فهمني يا سيدنا المختار اني انت غلطان شوي صغيرة غلطان نتوسة لانو والله العظيم وحياة المحبة لان سلنجو بيفهم يعني شو مهندس ما مهندس لو ما هل جحش سقط بالبكالوريا يمكن كان صار وزير شو بعرفنا ولا عمي الله يبارك له بالوزارة بتي وما رج أعطيه ياها شو الكم عندي مظبوط حيط حيط شو بدي أحكي مالك شايف العجينة ما عم بتلزء حلس ملس ابن البيس منعم التلبيسة    ,ar,,large-v3,,2025-10-15 19:22:57
voice_record_12.mp3,     أمورك كيفا؟ منيحة الحمدلله الحمدلله أموري شو وين اللو هدا منو مبين؟  زميلك زميلك حرامي الجيج هدا الجمل آه رفيق عمري جودة؟ وين اللو؟ آه؟ وين اللو وين اللو؟ وين اللو؟ آيوا آيوا فهمت عليك جودة     ,ar,,large-v3,,2025-10-15 19:23:21
voice_record_13.mp3,حبيبي أنا والحكومة أفي شي بيننا يعني لا في لا قتيل ولا عداوي بدكم تقولوا يعني في شوية عتب وبتنحل هنت ولا جودي كيف أمورك شو صار معك؟,ar,,large-v3,,2025-10-15 19:23:28
